site1,site2,objective,sample_id,latitude,longitude,status,spp,dbh_cm,tree_ht_m,age,elev_m,vpd_min,vpd_max,temp_min_c,temp_max_c,temp_mean_c,precip_mm,modis_npp,cwd_1981_2010,cwd_2041_2070,sol_rad30,slope,asw_mm,aspect,forest_group,stems_ha,sum_ht_m,mean_ht_m,crown_ha,trees15_ha,basal15_m2ha,drip_ba_m2,pvt,bai50_total,bai25_total,bai10_total,bai5_total,bai50_mean,bai25_mean,bai10_mean,bai5_mean,bai50_scaled_mean,bai25_scaled_mean,bai10_scaled_mean,bai5_scaled_mean
sti,sti3,N,041271,44.20395202,-118.3730012,A,LAOC,61,36.2,190,1615.133116,0.719999969,13.88999939,-2.510799885,13.54999924,5.519999981,624.4169922,5643,178.9308929,220.241806,181594.7969,18.42292976,99.06,311.6987,group3,174,4033.1136,23.17881379,208,389,13.9,0,PSME,44269.21912,9271.87696,3172.531058,1619.94246,885.3843824,370.8750784,317.2531058,323.988492,-0.143048562,-1.139956853,-1.243854272,-1.230803853
sti,sti3,N,041281,44.20379966,-118.3731637,A,LAOC,49.7,30.9,96,1617.565414,0.719999969,13.88999939,-2.510799885,13.54999924,5.519999981,624.4169922,5643,178.9308929,220.241806,181305.4531,21.57142067,99.06,334.3543701,group3,176,4205.9352,23.89735909,209,389,13.9,0,PSME,55740.94073,16037.94516,4544.08915,2590.476877,1114.818815,641.5178066,454.408915,518.0953755,0.093141994,-0.683251037,-0.990180533,-0.885710601
sti,sti3,N,041291,44.20401908,-118.3733801,A,LAOC,63.8,38.2,188,1604.117603,0.719999969,13.88999939,-2.510799885,13.54999924,5.519999981,624.4169922,5643,178.9308929,220.241806,179515.1719,19.61096764,99.06,327.2809143,group3,183,4332.1224,23.6728,213,389,13.9,0.184482175,PSME,42833.73088,18333.91501,7119.10782,3915.045225,856.6746175,733.3566004,711.910782,783.009045,0.210258499,-0.079816859,-0.130262882,0.036978326
sti,sti3,N,041302,44.20397885,-118.373287,D,PIPO,48.8,23.1,199,1608.580363,0.719999969,13.88999939,-2.510799885,13.54999924,5.519999981,624.4169922,5643,178.9308929,220.241806,179515.1719,18.68083,99.06,331.9592285,group3,180,4225.1376,23.47298667,216,389,13.9,0,PSME,39000.64698,15293.12224,7766.329628,3715.612839,780.0129395,611.7248896,776.6329628,743.1225679,-0.580529428,-0.920387196,-0.587355292,-0.655029545
sti,sti3,N,041312,44.20515982,-118.3720311,A,PIPO,102.8,33.8,429,1614.005446,0.709999979,13.96999931,-2.547799826,13.63000011,5.539999962,634.2659912,5643,182.1139069,223.7812958,195958.3438,15.24655342,99.06,246.2601776,group3,142,3207.1056,22.5852507,172,389,13.9,0,PSME,64248.11854,32298.07601,14770.55757,7713.597681,1284.962371,1291.923041,1477.055757,1542.719536,0.42457654,0.438388099,0.805733707,0.936025646
sti,sti3,N,041322,44.20458919,-118.3724821,A,PIPO,84.9,39.8,423,1604.287564,0.709999979,13.96999931,-2.547799826,13.63000011,5.539999962,634.2659912,5643,177.4471588,218.5664673,177593.9531,19.75499535,99.06,323.3405762,group3,152,3533.8512,23.24902105,179,389,13.9,0.018145839,PSME,30158.34448,12948.81083,6910.668488,3718.428335,603.1668897,517.952433,691.0668488,743.6856669,-0.641598282,-0.802112909,-0.476025095,-0.376909402
sti,sti3,N,041332,44.20383509,-118.3720177,A,PIPO,88.2,35.5,467,1635.374337,0.719999969,13.88999939,-2.510799885,13.54999924,5.519999981,624.4169922,5643,182.3580475,224.6764984,184803.2344,18.29629898,35.56,311.6673279,group3,164,3416.5032,20.83233659,193,389,13.9,0,PSME,32574.59869,12578.83897,4575.633253,2047.463897,651.4919737,503.1535587,457.5633253,409.4927794,-0.956090185,-1.258321519,-1.351209103,-1.449150188
sti,sti3,N,041342,44.20466268,-118.3727966,A,PIPO,80.2,28.8,470,1597.209448,0.709999979,13.96999931,-2.547799826,13.63000011,5.539999962,634.2659912,5643,177.4471588,218.5664673,185449.4063,24.17006111,99.06,327.3728333,group3,155,3506.4192,22.62205935,189,389,13.9,0.021340839,PSME,28706.35439,10138.57263,5220.963822,2411.038844,574.1270879,405.5429052,522.0963822,482.2077688,-1.064533545,-1.410314544,-1.171253103,-1.25306816
sti,sti3,N,041352,44.20407474,-118.3722529,D,PIPO,69.9,28.5,314,1623.48163,0.719999969,13.88999939,-2.510799885,13.54999924,5.519999981,624.4169922,5643,182.3580475,224.6764984,182336.5156,19.6077404,35.56,311.8243103,group3,169,3874.6176,22.92673136,194,389,13.9,0.357748078,PSME,16154.57208,5027.807396,1731.972596,1001.316057,323.0914416,201.1122958,173.1972596,200.2632113,-1.018636335,-1.19984558,-1.241315477,-1.201106959
mal,mal1,Y,050013,44.082418,-118.576689,A,PSME,17.3,23,104,1457.875664,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,187664.375,15.77051353,60.96,82.16901398,group2,157,3291.5352,20.96519236,172,226.2,24.8,0.469511022,PIPO_Dry,13822.73373,6570.926606,3243.996008,1708.812775,276.4546746,262.8370642,324.3996008,341.7625551,0.750304974,0.661420991,1.063247989,1.176578338
mal,mal1,Y,050022,44.082419,-118.576682,A,PIPO,64.3,28,307,1457.875664,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,187664.375,15.77051353,60.96,82.16901398,group2,156,3279.0384,21.01947692,171,226.2,24.8,0.209230071,PIPO_Dry,20803.76949,9828.841754,3751.797704,2077.504748,416.0753899,393.1536702,375.1797704,415.5009497,-0.99750055,-1.028078689,-1.052056315,-0.998266867
mal,mal1,Y,050033,44.082427,-118.576614,A,PSME,14.4,13,105,1455.111033,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,187664.375,14.87622738,60.96,83.87303925,group2,149,3225.0888,21.64489128,162,226.2,24.8,0,PIPO_Dry,12905.1185,7152.445145,3490.580558,1373.006366,258.1023699,286.0978058,349.0580558,274.6012731,0.768865859,0.959633753,1.388660626,0.881293507
mal,mal1,Y,050042,44.082367,-118.576598,A,PIPO,7.5,6,102,1455.111033,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,179.6011963,217.8847351,187664.375,14.87622738,60.96,83.87303925,group2,146,3123.2856,21.39236712,169,226.2,24.8,0.002827433,PIPO_Dry,1360.210031,910.1580333,352.9453683,186.7262142,27.20420061,36.40632133,35.29453683,37.34524285,0.063285977,0.636559015,0.567297145,0.695051878
mal,mal1,N,050052,44.082351,-118.576492,A,PIPO,49,29,185,1452.856733,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,179.6011963,217.8847351,187664.375,13.5550499,60.96,82.56855011,group2,145,3144.012,21.68284138,167,226.2,24.8,0.007853982,PIPO_Dry,68844.36221,33467.51566,16574.45599,6473.748034,1376.887244,1338.700626,1657.445599,1294.749607,0.688080877,0.639294192,1.046518278,0.583142989
